front,back,hint,publishedAt
"der Dezember","the December","","2023-07-27T16:30:54.250Z"
"die Ratte","the rat","","2023-07-27T16:30:58.348Z"
"das Geld","the money","","2023-07-27T16:31:46.299Z"
"das Brot","the bread","","2023-07-27T16:31:43.440Z"
"die Sonnenbrille","the sunglasses","","2023-07-27T16:31:01.695Z"
"die Flüssigkeit","the liquid","","2023-07-27T14:09:08.672Z"
"das Auto","the car","","2023-07-27T16:31:44.684Z"
"der Kaffee","the coffee","","2023-07-27T16:31:40.834Z"
"der Baum","the tree","","2023-07-27T16:31:43.918Z"
"die Limonade","the lemonade","","2023-07-27T16:31:39.590Z"
"das Boot","the boat","","2023-07-27T16:31:31.539Z"
"das Brötchen","the bread bun","","2023-07-27T16:31:36.612Z"
"die Rote Bete","the beetroot","","2023-07-27T16:31:38.979Z"
"das Brathähnchen","the roast chicken","","2023-07-27T16:31:38.391Z"
"das Datum","the date","","2023-07-27T16:31:32.238Z"
"die Bibliothek","the library","","2023-07-27T16:31:30.337Z"
"die Diskussion","the discussion","","2023-07-27T16:31:33.066Z"
"die Karotte","the carrot","","2023-07-27T16:31:36.008Z"
"das Design","the design","","2023-07-27T16:31:32.789Z"
"die Paprika","the paprika","","2023-07-27T16:31:37.512Z"
"der Chef","the boss","","2023-07-27T16:31:31.862Z"
"hübsch","pretty","Sie ist sehr hübsch.","2023-07-21T10:56:17.967Z"
"die Benachrichtigung","the notification","","2023-07-27T16:31:28.592Z"
"(sich) fürchten","to fear","hat gefürchtet","2023-07-27T14:08:43.173Z"
"die Waschmaschine","the washing machine","","2023-07-27T16:31:09.252Z"
"die Verspätung","the delay","","2023-07-27T16:31:08.180Z"
"Beleg","receipt","Zusätzlich sind diese Abrechnungen auch ein guter Beleg für einen Kauf, wenn man zum Beispiel für eine Versicherung nachweisen möchte.","2023-07-08T09:55:37.453Z"
"fliehen (ist geflohen)","flee","","2023-07-27T14:07:30.531Z"
"Willst du noch etwas essen?","Do you want to eat something else?","","2023-07-27T14:06:18.657Z"
"die Zunge","the tongue","","2023-07-27T16:31:16.174Z"
"die Spinne","the spider","","2023-07-27T16:30:58.800Z"
"die Katze","the cat","","2023-07-27T16:30:56.975Z"
"das Ziel","the goal","","2023-07-27T16:30:49.746Z"
"die Temperatur","the temperature","","2023-07-27T16:30:44.643Z"
"die Maus","the mouse","","2023-07-27T16:30:57.423Z"
"das T-Shirt","the T-Shirt","","2023-07-27T16:30:46.451Z"
"erleben (hat erlebt)","experience (lived it)","","2023-07-27T14:07:39.572Z"
"der Hafen","the harbor","","2023-07-27T14:07:58.577Z"
"die Gymnastik","the gymnastics","","2023-07-27T14:08:55.518Z"
"die Gewalt","the violence","","2023-07-27T14:07:43.503Z"
"die Enkelin","the granddaughter","","2023-07-27T14:08:33.907Z"
"Sie lädt mich ein.","She invites me.","","2023-07-27T14:04:27.402Z"
"heizen (hat geheizt)","to heat","","2023-07-27T14:08:03.292Z"
"der Gang","the aisle","","2023-07-27T14:08:11.997Z"
"eigentlich","actually","","2023-07-27T14:09:15.919Z"
"Auf dem Parkplatz sind viele Autos.","There are many cars in the parking spot.","","2023-07-02T12:31:14.916Z"
"verkaufen","to sell","Mein Vater verkäuft Spielzeuge.","2023-07-30T00:14:30.760Z"
"der Himmel","the sky","","2023-07-27T14:09:22.857Z"
"entwickeln (hat entwickelt)","develop","","2023-07-27T14:07:55.055Z"
"Ich studiere Ökonomie.","I study economics.","","2023-07-23T12:36:37.142Z"
"die Garantie","the guarantee","","2023-07-27T14:08:32.113Z"
"die Garage","the garage","","2023-07-27T14:08:57.648Z"
"der Pfeffer","the pepper","","2023-07-21T19:18:02.805Z"
"Ich kann es machen.","I can do it.","","2023-07-27T14:05:31.425Z"
"Es ist bewölkt.","It is cloudy.","","2023-07-23T12:36:09.947Z"
"eröffnen (hat eröffnet)","To open, to establish (used in connection with non-physical entities)","Ich möchte gern ein Bankkonto eröffnen","2023-07-23T12:39:08.218Z"
"Was machst du beruflich?","What do you do for a living?","","2023-07-23T12:35:36.203Z"
"lassen","to let / to leave","Lass mich bitte in Ruhe.\nIch lasse mich überraschen.","2023-07-23T12:37:26.231Z"
"Er lässt es sein","He lets it be","","2023-07-23T12:37:33.915Z"
"Ich koche ab und zu.","I cook from time to time.","","2023-07-27T14:05:19.634Z"
"die Prüfung(en)","the exam","Ich lerne für die Prüfung.","2023-07-23T12:36:45.878Z"
"das Institut","the Institute","","2023-07-23T12:38:57.144Z"
"das Interview","the interview","","2023-07-23T12:39:13.490Z"
"laufen,lief, gelaufen","to run","Ich laufe zum Training.","2023-07-22T23:20:32.011Z"
"reinigen","to clean","Vor den Feiertagen wird das ganze Haus gereinigt.","2023-07-22T23:18:33.795Z"
"die Heizung","the heating system","","2023-07-23T12:38:34.825Z"
"das Kaufhaus","the Department store","","2023-07-21T19:19:29.234Z"
"klopfen (klopft, klopfte, hat geklopft)","to knock","Er hat versucht, an die Tür zu klopfen.","2023-07-22T23:18:00.985Z"
"versuchen","to try","Kannst du es nochmal versuchen?","2023-07-22T23:20:35.744Z"
"die Tasche","the bag","","2023-07-21T19:19:13.756Z"
"speichern","to save","Ich muss das erstmal speichern.","2023-07-22T23:20:05.451Z"
"die Leiter","the ladder","","2023-07-21T19:19:03.773Z"
"der Fuß","the foot","","2023-07-21T19:18:48.560Z"
"der Esel","the donkey","","2023-07-21T19:18:41.482Z"
"überlegen","to consider","Überlegen Sie einmal, was das alles kostet.","2023-07-22T23:18:03.725Z"
"die Musik","the music","","2023-07-21T19:17:47.238Z"
"schillerndsten","most dazzling","schillerndsten und erstaunlichsten Länder\nder Welt ist.","2023-07-18T18:03:57.013Z"
"das Feuer","the fire","","2023-07-21T19:18:44.968Z"
"Wozu brauchst du so viel Geld?","Why do you need so much money?","","2023-07-02T15:51:55.579Z"
"die Aufmerksamkeit","the attention","Danke für eure Aufmerksamkeit.","2023-07-21T11:46:32.992Z"
"Vorteile","advantages","Es gibt meiner Meinung nach viele Vorteile für die Nutzung von Kreditkarten.","2023-07-06T20:29:37.566Z"
"Wenn","if","Wenn du Hunger hast, kannst du etwas essen.","2023-07-21T12:43:59.525Z"
"herzlich","cordial / warm","Herzlich willkomen!","2023-07-21T10:51:56.139Z"
"ablehnen","to reject","Sie hat seinen Vorschlag abgelehnt.","2023-07-21T10:34:45.011Z"
"der Knödel","the dumpling","Knödel sind beliebt in Tschechien.","2023-07-21T11:46:24.871Z"
"das Bier","the beer","In Deutschland trinkt man viel Bier.","2023-07-21T15:13:15.952Z"
"das Hähnchen","the chicken","Isst du gern Hähnchen?","2023-07-21T10:52:14.819Z"
"antworten auf","answer to","Ich antworte auf deine Frage. Er möchte darauf antworten.","2023-07-22T23:21:05.837Z"
"fliegen","to fly","Vögel fliegen nach Süden.","2023-07-22T23:19:41.747Z"
"schließen","shut down","Ich schließe die Tür später","2023-07-22T23:19:44.293Z"
"der Mantel","the coat","Sie hat einen neuen Mantel.","2023-07-21T15:13:18.410Z"
"reiten","to ride (a horse)","Ich hoffe, er kann reiten!","2023-07-22T23:19:12.942Z"
"das Schloss","the castle","","2023-07-21T19:19:26.259Z"
"der Zug","the train","","2023-07-21T19:19:39.979Z"
"schwimmen, schwimmt, schwamm, hat geschwommen","to swim","Ich schwimme sehr gern.","2023-07-22T23:20:27.268Z"
"Die Eigenschaft","The property","Die Eifersucht ist eine schlechte Eigenschaft.","2023-07-21T12:43:51.066Z"
"die Tür","the door","","2023-07-21T19:18:27.843Z"
"die Bank","the Bank","","2023-07-21T15:15:54.685Z"
"das Schiff","the ship","","2023-07-21T19:18:12.933Z"
"die Birne","the pear","","2023-07-21T19:18:37.979Z"
"die Seife","the soap","","2023-07-21T19:19:55.653Z"
"das Haus/Häuser","the house / houses","In userer Straße wurden neue Häuser gebaut.","2023-07-02T12:31:43.389Z"
"der Koffer","the suitcase","","2023-07-21T19:18:59.431Z"
"das Meer","the sea","","2023-07-21T19:19:22.829Z"
"beachten","note","Es ist wichtig zu beachten, dass diese Redewendung eher umgangssprachlich ist und nicht in formellen Situationen verwendet werden sollte.","2023-07-01T14:34:07.526Z"
"das Kamel, -e","the camel","","2023-07-15T18:22:02.451Z"
"die Geschwister","the siblings","Hast du Geschwister?","2023-07-02T15:51:18.464Z"
"die Pause","the break","","2023-07-21T19:19:55.465Z"
"Lieblingsjahreszeit","Favorite season","Der Sommer ist meine Lieblingsjahreszeit.","2023-07-01T18:00:53.098Z"
"der Mund","the mouth","","2023-07-21T19:19:44.538Z"
"die Pflanze","the plant","","2023-07-21T19:19:45.826Z"
"der Monat","the month","","2023-07-21T19:19:55.275Z"
"der Turm","the tower","","2023-07-21T19:19:26.807Z"
"die Bäckerei","the bakery","","2023-07-21T19:19:31.544Z"
"der Mai","May","","2023-07-21T19:19:06.271Z"
"der Januar","January","","2023-07-21T19:18:57.594Z"
"das Geschäft","the business","","2023-07-21T19:19:40.326Z"
"der Garten","the garden","","2023-07-21T19:19:40.622Z"
"das Feld","the field","","2023-07-21T19:19:22.386Z"
"die Oper","The opera","","2023-07-21T19:19:24.489Z"
"das Fahrrad","the bike","","2023-07-21T19:19:38.857Z"
"das Hotel","the hotel","","2023-07-21T19:18:55.234Z"
"die Kuh","the cow","","2023-07-21T19:19:00.786Z"
"der Tourist","the tourist","","2023-07-21T19:18:25.295Z"
"das Band","the ribbon","","2023-07-21T15:16:15.799Z"
"der Supermarkt","the supermarket","","2023-07-21T19:18:21.754Z"
"die Schule","the school","","2023-07-21T19:18:15.603Z"
"die Schokolade","the chocolate","","2023-07-21T19:18:14.428Z"
"der Pilz","the mushroom","","2023-07-21T19:18:04.422Z"
"das Restaurant","the restaurant","","2023-07-21T19:18:08.985Z"
"der Regenschirm","the umbrella","","2023-07-21T19:19:10.574Z"
"die Mücke","The mosquito","","2023-07-21T19:19:09.908Z"
"der November","the november","","2023-07-21T19:17:55.936Z"
"die Maschine","the machine","","2023-07-21T19:19:43.330Z"
"das Badezimmer","the bathroom","","2023-07-21T15:16:14.028Z"
"die Stadt","the town","Gehen wir heute in die Stadt?","2023-07-21T15:06:26.984Z"
"die Apotheke","the pharmacy","","2023-07-21T15:16:12.193Z"
"der Herbst","the autumn","","2023-07-21T19:18:53.592Z"
"die Hilfe","the help","","2023-07-21T19:18:54.340Z"
"das Konzert","the concert","","2023-07-21T19:19:25.114Z"
"das Theater","the theater","","2023-07-21T19:19:24.008Z"
"die Farbe","the color","","2023-07-21T19:18:43.605Z"
"die Adresse","the address","","2023-07-21T15:16:07.593Z"
"der Park / die Parks","the park / the parks","Diese Stadt hat viele schöne Parks.","2023-07-02T12:31:02.008Z"
"der Hund","the dog","","2023-07-21T19:19:41.781Z"
"das Papier","the paper","","2023-07-21T19:19:45.070Z"
"die E-Mail","the e-mail","","2023-07-21T19:19:41.466Z"
"der Teller","the dish / plate","","2023-07-21T19:19:48.665Z"
"das Stadion","the stadium","","2023-07-21T19:19:37.816Z"
"das Insekt","The insect","","2023-07-21T19:19:19.244Z"
"der Markt","the market","","2023-07-21T19:19:08.007Z"
"der Wagen","the car","","2023-07-21T19:19:18.029Z"
"der Laden","the store","","2023-07-21T19:19:30.605Z"
"die Tankstelle","the petrol station","","2023-07-21T19:19:25.638Z"
"der Sportplatz","the sports field","","2023-07-21T19:19:35.508Z"
"der Wald","the forest","","2023-07-21T19:19:20.329Z"
"das Plastik","the plastic","","2023-07-21T19:19:46.480Z"
"der Berg","the mountain","","2023-07-21T19:19:21.998Z"
"die Idee","the idea","","2023-07-21T19:18:56.060Z"
"das Land","the country","","2023-07-21T19:19:02.064Z"
"der Strand","the beach","","2023-07-21T19:19:38.412Z"
"die Jacke","the jacket","","2023-07-21T19:18:56.952Z"
"die Fabrik","the factory","","2023-07-21T19:18:42.175Z"
"das Telefon","the telephone","","2023-07-21T19:18:23.196Z"
"die Überraschung","the surprise","","2023-07-21T19:18:29.094Z"
"das Fenster","the window","","2023-07-21T19:18:44.256Z"
"die Nase","the nose","","2023-07-21T19:17:49.825Z"
"der Park","the park","","2023-07-21T19:18:01.626Z"
"die Pizza","the pizza","","2023-07-21T19:18:05.202Z"
"der Schinken","the ham","","2023-07-21T19:18:13.646Z"
"der Sessel","the armchair","","2023-07-21T19:18:20.254Z"
"der Salat","the salad","","2023-07-21T15:14:23.342Z"
"die Sonne","the sun","","2023-07-21T19:18:20.623Z"
"das Gespräch","the conversation","Das war ein interessantes Gespräch.","2023-07-21T10:56:44.872Z"
"der Bürgermeister","the mayor","Der Bürgermeister kümmert sich gut um die Stadt.","2023-07-21T15:08:06.316Z"
"das Messer","the knife","Das Messer ist scharf.","2023-07-21T15:13:49.276Z"
"Der Sozialismus","Socialism","Der Sozialismus hat viele Anhänger in Deutschland.","2023-07-21T13:18:05.877Z"
"die Orange","the Orange","Orangen sind reich an Vitamin C.","2023-07-21T15:06:23.066Z"
"der Rock","the skirt","","2023-07-21T19:18:10.999Z"
"der September","the september","","2023-07-21T19:18:18.693Z"
"der Arm","the arm","","2023-07-21T15:15:55.727Z"
"der Zahn","the tooth","","2023-07-21T15:16:05.063Z"
"die Vase","the vase","","2023-07-21T15:16:01.086Z"
"die Banknote","the banknote","","2023-07-21T15:16:16.611Z"
"hoch","high","Wie hoch ist der Turm?","2023-07-21T15:13:10.891Z"
"Der Honig","The honey","Ich trinke Tee mit Honig.","2023-07-21T15:13:28.137Z"
"sein / seine","his","Seine Tochter ist sehr nett.","2023-07-21T15:14:46.391Z"
"der Juni","June","Im Juni fahren wir nach Griechenland.","2023-07-21T15:13:27.656Z"
"sein","to be","Sein oder nicht sein, das ist jetzt die Frage.","2023-07-21T15:08:20.213Z"
"das Ei","the egg","Nimmst du auch ein Ei dazu?","2023-07-21T15:14:22.136Z"
"das Gesetz","the law","Man muss sich an Gesetze halten.","2023-07-21T10:35:11.834Z"
"der Tisch","the table","Ich muss einen Tisch kaufen.","2023-07-21T15:06:14.751Z"
"die Lampe","the lamp","Wo hast du die Lampe gekauft?","2023-07-21T15:05:44.135Z"
"bei","at","Ich bleibe heute bei meinen Eltern.","2023-07-21T12:44:22.865Z"
"die Tomate","the tomato","","2023-07-21T15:15:11.801Z"
"die Banane","the banana","","2023-07-21T15:07:08.263Z"
"die Ente","the duck","Die Ente schwimmt im See.","2023-07-21T12:43:53.465Z"
"das Obst","the fruit","Obst ist gesund!","2023-07-21T15:05:42.787Z"
"fertig","done","Mit der Aufgabe bin ich fertig.","2023-07-21T13:21:27.128Z"
"der Hunger","the hunger","Ich habe Hunger.","2023-07-21T13:21:34.962Z"
"Die Donau","The Danube","Die Donau ist der zweitgrößte und zweitlängste Fluss in Europa.","2023-07-21T11:46:29.597Z"
"nützlich","useful","Das sind nützliche Informationen.","2023-07-21T13:18:54.566Z"
"die Uhr","the clock","Die Uhr geht vor.","2023-07-21T13:19:56.294Z"
"die Suppe","the soup","Wie schmeckt dir die Suppe?","2023-07-21T13:21:32.605Z"
"der Frühling","the spring","Im Frühling wird alles grün.","2023-07-21T10:56:29.008Z"
"scheiße!","shit","","2023-07-21T13:19:22.927Z"
"die Großmutter","the grandmother","Meine Großmutter ist schon sehr alt.","2023-07-21T13:19:07.274Z"
"das Appartement","the apartment","Das Appartement ist zu klein.","2023-07-21T12:43:56.179Z"
"der Fluss","the river","Das ist ein relativ sauberer Fluss.","2023-07-21T12:43:45.264Z"
"alles","everything","Alles ist möglich.","2023-07-21T13:19:35.572Z"
"Die Übung","The exercise","Übung macht den Meister.","2023-07-21T13:17:58.124Z"
"die Anmeldung","the registration","Zuerst muss man die Anmeldung erfüllen.","2023-07-21T11:46:22.822Z"
"wahrscheinlich","probably","Das ist sehr unwahrscheinlich.","2023-07-21T11:46:34.761Z"
"Prost!","Cheers!","","2023-07-21T11:12:52.578Z"
"wenige","few","Er kommt in wenigen Minuten.","2023-07-21T11:12:46.604Z"
"der Bürger","the citizen","Der Bürger will sich beschweren.","2023-07-21T11:46:19.936Z"
"das Öl","the oil","Ich benutze nur pflanzliche Öle.","2023-07-21T13:19:59.460Z"
"der Strumpf","the stocking","Im Winter trage ich statt Socken lieber Strümpfe.","2023-07-21T11:47:04.556Z"
"werden","become","Die Blätter werden bunt.","2023-07-21T10:41:53.633Z"
"die Münze","the coin","Sollen wir eine Münze werfen?","2023-07-21T10:35:20.782Z"
"das Mal","that time","Zum ersten Mal gehen wir zusammen.","2023-07-21T11:12:32.324Z"
"das Ergebnis, -se","the result","Das Ergebnis bekommen wir erst morgen.","2023-07-16T12:31:32.131Z"
"außergewöhnlichsten","most extraordinary","Niemand würde,\nbestreiten, dass die Schweiz eines der außergewöhnlichsten,","2023-07-18T18:03:17.859Z"
"der Gehsteig","the pavement","Wie breit muss ein Gehsteig sein?","2023-07-21T10:35:10.225Z"
"das Zeug","the stuff","Warum bestellst du das Zeug?","2023-07-17T21:50:20.800Z"
"die Mahlzeit","the meal","","2023-07-14T18:25:14.887Z"
"Bist du dabei?","Are you in?","","2023-07-17T21:52:53.997Z"
"die Eleganz","the elegance","Eleganz entfalten","2023-07-21T11:12:49.376Z"
"die Mütze","the cap","Es ist kalt, nimm deine Mütze.","2023-07-21T11:12:41.019Z"
"die Explosion","the explosion","","2023-07-21T11:12:12.428Z"
"das Gebiet, -e","the area","Dieses Gebiet eignet sich perfekt für den Weinbau.","2023-07-14T18:25:05.803Z"
"die Forschung, -en","the research","","2023-07-15T10:12:30.975Z"
"die Absolutheit","the absoluteness","Es geht um die Absolutheit des amerikanischen Anspruchs, Freiheit zu bringen.","2023-07-21T10:56:27.911Z"
"aus","out / from","Ich komme aus Tschechien.","2023-07-21T10:56:25.306Z"
"denken","to think","Was denkst du darüber?","2023-07-21T10:51:47.241Z"
"die Qualität","the quality","Die Qualität war einwandfrei.","2023-07-21T10:56:26.406Z"
"Der Schlag","the punch","Ein Schlag ins Gesicht.","2023-07-21T10:56:14.645Z"
"die Soße","the sauce","Was für eine Soße gibt es heute?","2023-07-21T10:35:18.984Z"
"einige","some","Einige von uns wollen schon gehen.","2023-07-21T10:52:06.450Z"
"der Durst","the thirst","Ich habe Durst.","2023-07-21T10:41:50.547Z"
"das Eisen","the iron","Was kann man aus  Eisen herstellen?","2023-07-21T10:35:12.989Z"
"die Unterstützung","support","Danke für deine Unterstützung.","2023-07-15T20:14:25.705Z"
"die Nachspeise","the dessert","Ich bestelle noch eine Nachspeise.","2023-07-21T10:52:20.510Z"
"die Kuh/Kühe","the cow / the cows","Kühe grasen auf der Wiese.","2023-06-30T11:12:22.709Z"
"die Vorspeise","the appetizer","Als Vorspeise haben wir heute Vitello tonato.","2023-07-21T10:42:06.376Z"
"der Notfall","the emergency","Im Notfall drücken Sie diese Taste.","2023-07-21T10:41:22.431Z"
"die Moschee, -n","the mosque","","2023-07-16T13:10:52.893Z"
"die Entscheidung, -en","the decision","Ich respektiere deine Entscheidung.","2023-07-16T12:22:39.322Z"
"Keiner versteht es.","Nobody understands.","","2023-07-17T21:49:45.420Z"
"Unterrichtsstunden","Lessons","","2023-07-01T17:55:22.752Z"
"Menschen reisen gern ans Meer.","People like to travel to the sea.","","2023-06-30T11:12:59.568Z"
"der Tisch/Tische","the table / tables","Es gibt zehn Tische in diesem Restaurant.","2023-06-30T11:12:09.149Z"
"Sterben","Dying","","2023-07-01T17:56:58.649Z"
"der Beruf/Berufe","the profession / professions","Was sind die wichtigsten Berufe?","2023-06-30T11:12:16.917Z"
"der Löffel/Löffel","the spoon / the spoons","Hast du noch saubere Löffel?","2023-07-01T10:53:24.318Z"
"auszudrücken","express","Es wird oft verwendet, um auszudrücken, dass jemand sehr starke Gefühle für eine andere Person hat.","2023-07-01T14:33:25.678Z"
"der Stuhl/Stühle","the chair / chairs","Wir brauchen mehr Stühle!","2023-06-30T11:12:33.097Z"
"Obwohl","Although","Obwohl sie schon seit Jahren verheiratet sind, sind sie immer noch bis über beide Ohren verliebt.","2023-07-01T14:33:53.660Z"
